id,name,canonical_name
cond_anemia,anemia,anemia
cond_bone_marrow_disorder,bone_marrow_disorder,bone_marrow_disorder
cond_inflammation,inflammation,inflammation
cond_iron_deficiency_anemia,iron_deficiency_anemia,iron_deficiency_anemia
cond_iron_store_abnormality,iron_store_abnormality,iron_store_abnormality
cond_infection,infection,infection
cond_bleeding_risk,bleeding_risk,bleeding_risk
cond_renal_impairment,renal_impairment,renal_impairment
cond_macrocytic_anemia,macrocytic_anemia,macrocytic_anemia
cond_hemolytic_anemia,hemolytic_anemia,hemolytic_anemia
cond_hyperglycemia,hyperglycemia,hyperglycemia
cond_hyperuricemia,hyperuricemia,hyperuricemia
cond_thrombocytopenia,thrombocytopenia,thrombocytopenia
cond_hypoalbuminemia,hypoalbuminemia,hypoalbuminemia
cond_hepatocellular_injury,hepatocellular_injury,hepatocellular_injury
cond_bacterial_infection,bacterial_infection,bacterial_infection
cond_polycythemia,polycythemia,polycythemia
cond_bone_mineral_disorder,bone_mineral_disorder,bone_mineral_disorder
cond_coagulation_disorder,coagulation_disorder,coagulation_disorder
cond_dyslipidemia,dyslipidemia,dyslipidemia
cond_thalassemia,thalassemia,thalassemia
cond_leukocytosis,leukocytosis,leukocytosis
cond_cardiac_stress,cardiac_stress,cardiac_stress
cond_myocardial_injury,myocardial_injury,myocardial_injury
cond_leukopenia,leukopenia,leukopenia
cond_thrombocytosis,thrombocytosis,thrombocytosis
cond_electrolyte_disorder,electrolyte_disorder,electrolyte_disorder
cond_left_shift_stress_response,left_shift_stress_response,left_shift_stress_response
cond_lymphocytosis,lymphocytosis,lymphocytosis
cond_neutropenia,neutropenia,neutropenia
cond_viral_infection,viral_infection,viral_infection
cond_eosinophilia,eosinophilia,eosinophilia
cond_microcytic_anemia,microcytic_anemia,microcytic_anemia
cond_anisocytosis,anisocytosis,anisocytosis
cond_neutrophilia,neutrophilia,neutrophilia
cond_basophilia,basophilia,basophilia
cond_lymphopenia,lymphopenia,lymphopenia
cond_reduced_kidney_function,reduced_kidney_function,reduced_kidney_function
cond_diabetes_risk,diabetes_risk,diabetes_risk
cond_liver_injury,liver_injury,liver_injury
cond_gout_risk,gout_risk,gout_risk
cond_cardiovascular_risk,cardiovascular_risk,cardiovascular_risk
cond_bacterial_infection_severe,bacterial_infection_severe,bacterial_infection_severe
cond_anemia_chronic_disease,anemia_chronic_disease,anemia_chronic_disease
cond_severe_infection_thrombocytopenia,severe_infection_thrombocytopenia,severe_infection_thrombocytopenia
cond_mild_leukocytosis_neutrophilia,mild_leukocytosis_neutrophilia,mild_leukocytosis_neutrophilia
cond_borderline_monocytosis,borderline_monocytosis,borderline_monocytosis
cond_pancytopenia,pancytopenia,pancytopenia
cond_monocytosis,monocytosis,monocytosis
cond_bicytopenia_mild,bicytopenia_mild,bicytopenia_mild
cond_reactive_monocytosis,reactive_monocytosis,reactive_monocytosis
cond_absolute_monocytosis,absolute_monocytosis,absolute_monocytosis
cond_mild_anemia,mild_anemia,mild_anemia
cond_b12_or_folate_related_anemia,b12_or_folate_related_anemia,b12_or_folate_related_anemia
cond_megaloblastic_anemia,megaloblastic_anemia,megaloblastic_anemia
cond_normocytic_anemia_chronic_disease,normocytic_anemia_chronic_disease,normocytic_anemia_chronic_disease
cond_reactive_monocytosis_neutrophilia,reactive_monocytosis_neutrophilia,reactive_monocytosis_neutrophilia
cond_concurrent_anemia_inflammation,concurrent_anemia_inflammation,concurrent_anemia_inflammation
cond_severe_anemia,severe_anemia,severe_anemia
cond_monocytosis_chronic_disease,monocytosis_chronic_disease,monocytosis_chronic_disease
cond_bacterial_infection_neutrophilia,bacterial_infection_neutrophilia,bacterial_infection_neutrophilia
cond_anemia_of_infection,anemia_of_infection,anemia_of_infection
cond_lymphopenia_stress,lymphopenia_stress,lymphopenia_stress
cond_eosinophilia_basophilia,eosinophilia_basophilia,eosinophilia_basophilia
cond_normocytic_anemia,normocytic_anemia,normocytic_anemia
cond_reactive_monocytosis_lymphopenia,reactive_monocytosis_lymphopenia,reactive_monocytosis_lymphopenia
cond_basophilia_monocytosis,basophilia_monocytosis,basophilia_monocytosis
cond_concurrent_anemia_infection,concurrent_anemia_infection,concurrent_anemia_infection
cond_thalassemia_trait,thalassemia_trait,thalassemia_trait
cond_microcytic_hypochromic_indices,microcytic_hypochromic_indices,microcytic_hypochromic_indices
cond_iron_deficiency_reactive_thrombocytosis,iron_deficiency_reactive_thrombocytosis,iron_deficiency_reactive_thrombocytosis
cond_severe_iron_deficiency_anemia,severe_iron_deficiency_anemia,severe_iron_deficiency_anemia
cond_hypochromic_anemia,hypochromic_anemia,hypochromic_anemia
cond_significant_basophilia,significant_basophilia,significant_basophilia
cond_concurrent_anemia_myeloproliferative,concurrent_anemia_myeloproliferative,concurrent_anemia_myeloproliferative
cond_t_ng_ur_m_u_azotemia,t_ng_ur_m_u_azotemia,t_ng_ur_m_u_azotemia
