id,name,interpretation,confidence_label,match_score,source,panel
pattern_cbc_rule_bacterial_infection_pattern,Bacterial infection pattern,"High WBC with neutrophilia, optionally immature granulocytes, suggests bacterial infection or inflammatory stress.",,0.67,panel_rule,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_bacterial_infection_severe,bacterial_infection_severe,Marked leukocytosis (WBC 15.50) with dominant neutrophilia strongly suggests acute bacterial infection or severe systemic stress,high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_anemia_chronic_disease,anemia_chronic_disease,Mild decrease in HGB in context of infection may indicate anemia of chronic disease or inflammation,medium,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_severe_infection_thrombocytopenia,severe_infection_thrombocytopenia,"Severe leukocytosis with thrombocytopenia – possible severe sepsis, DIC, or hematologic malignancy",high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_mild_leukocytosis_neutrophilia,mild_leukocytosis_neutrophilia,"WBC 10.2 (borderline) with NEUT_ABS 6.4 suggests mild neutrophilia – may represent early bacterial infection, physiologic stress (exercise, pain, corticosteroids), or resolving infectious process",medium,0.7,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_borderline_monocytosis,borderline_monocytosis,MONO% at 8.6% (upper borderline) in absence of significant leukocytosis may indicate a reactive state – chronic low-grade infection or early inflammatory process,low,0.5,cbc_demo_cases,CBC
pattern_cbc_rule_thrombocytopenia_pattern,Thrombocytopenia pattern,Low platelet count suggests thrombocytopenia pattern and possible bleeding risk context.,,0.6,panel_rule,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_thrombocytopenia,thrombocytopenia,"Low platelet count – possible immune thrombocytopenia, bone marrow suppression, or viral infection",medium,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_pancytopenia,pancytopenia,"Pancytopenia – all cell lines low, consider aplastic anemia, bone marrow failure, or hypersplenism",high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_monocytosis,monocytosis,"Elevated monocytes – consider chronic infection, autoimmune disease, or recovery from acute infection",low,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_bicytopenia_mild,bicytopenia_mild,"Concurrent mild anemia (HGB 139 g/L) and borderline thrombocytopenia (PLT 148) suggests bicytopenia – causes include hypersplenism, viral bone marrow suppression, or early myelodysplastic changes",medium,0.8,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_reactive_monocytosis,reactive_monocytosis,"Absolute monocytosis (MONO_ABS 1.2, MONO% 9.4%) alongside neutrophilia suggests chronic or subacute infection, granulomatous inflammation, or tissue repair response",high,0.9,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_absolute_monocytosis,absolute_monocytosis,"Absolute monocytosis (MONO_ABS 0.9, MONO% 11.6%) without significant leukocytosis suggests chronic inflammatory stimulus – tuberculosis, chronic viral infection, inflammatory bowel disease, or early monocytic disorder",medium,0.9,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_mild_anemia,mild_anemia,"HGB 123 g/L represents mild anemia – in context of monocytosis, this may reflect anemia of chronic disease or underlying systemic condition driving both findings",medium,0.7,cbc_demo_cases,CBC
pattern_cbc_rule_macrocytic_anemia_pattern,Macrocytic anemia pattern,Low hemoglobin with elevated MCV suggests a macrocytic anemia pattern.,,0.67,panel_rule,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_megaloblastic_anemia,megaloblastic_anemia,Macrocytic anemia with high RDW – suggest B12 or folate deficiency (megaloblastic anemia),high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_normocytic_anemia_chronic_disease,normocytic_anemia_chronic_disease,"Low RBC (3.6), HGB (107 g/L), and HCT (31%) with normal morphology indices suggests normocytic anemia – anemia of chronic disease, renal anemia, or hemolytic process",high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_reactive_monocytosis_neutrophilia,reactive_monocytosis_neutrophilia,"Monocytosis (MONO% 7.4%) with neutrophilia suggests chronic infection, granulomatous disease, or inflammatory response; monocytes are key effectors in tissue repair and chronic inflammation",medium,0.8,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_concurrent_anemia_inflammation,concurrent_anemia_inflammation,Normocytic anemia combined with leukocyte shift (neutrophilia + monocytosis + relative lymphopenia) is consistent with anemia of inflammation or post-infection hematologic recovery,medium,0.7,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_macrocytic_anemia,macrocytic_anemia,HGB 90 g/L with MCV 97 fL (macrocytic) and markedly low RBC (2.8) points to megaloblastic anemia – vitamin B12 or folate deficiency are the most common causes; liver disease and hypothyroidism also considered,high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_severe_anemia,severe_anemia,HGB at 90 g/L with HCT 27% and RBC 2.8 represents moderate-to-severe anemia requiring clinical evaluation for underlying etiology and assessment of transfusion need,high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_monocytosis_chronic_disease,monocytosis_chronic_disease,"Absolute monocytosis (MONO% 11%) in context of macrocytic anemia may indicate chronic inflammatory or nutritional deficiency with reactive monocyte response, or early myelodysplastic syndrome",medium,0.7,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_bacterial_infection_neutrophilia,bacterial_infection_neutrophilia,WBC 12.8 with NEUT% 81.6% and absolute neutrophilia (10.5) combined with relative and absolute lymphopenia is a classic pattern of acute bacterial infection or significant physiologic stress,high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_anemia_of_infection,anemia_of_infection,"Mild anemia (HGB 115 g/L, RBC 3.9) in setting of active neutrophilia and monocytosis is consistent with anemia of inflammation – inflammatory cytokines inhibit erythropoiesis and iron utilization",medium,0.8,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_lymphopenia_stress,lymphopenia_stress,"Absolute lymphopenia (LYM_ABS 0.8, LYM% 10.9%) alongside neutrophilia suggests stress-induced lymphocyte redistribution, steroid effect, or possible viral co-infection",medium,0.7,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_eosinophilia_basophilia,eosinophilia_basophilia,"EOS% 10.6% and BASO% 1.6% above normal range – eosinophilia suggests parasitic infection, drug reaction, or allergic disease; concurrent basophilia may indicate myeloproliferative neoplasm or chronic inflammatory state",high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_normocytic_anemia,normocytic_anemia,"Low RBC (3.4), HGB (104 g/L), HCT (31%) with borderline-high MCV (93 fL) suggests normocytic to slightly macrocytic anemia – may be anemia of chronic disease or early megaloblastic change masked by concurrent process",high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_reactive_monocytosis_lymphopenia,reactive_monocytosis_lymphopenia,"Borderline monocytosis (MONO% 8.8%) with relative lymphopenia (LYM% 17.2%) suggests systemic inflammatory response – consistent with chronic parasitic infection, granulomatous disease, or tissue remodeling",medium,0.7,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_lymphopenia,lymphopenia,"Absolute lymphopenia (LYM_ABS 1.2) in absence of neutrophilia may reflect viral infection, immunosuppressive state, or steroid effect – warrants clinical correlation",low,0.5,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_microcytic_anemia,microcytic_anemia,HGB 115 g/L with low MCV (81 fL) and HCT (33%) is consistent with microcytic anemia – iron deficiency or thalassemia trait are the leading diagnoses,high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_basophilia_monocytosis,basophilia_monocytosis,Mild basophilia (1.1%) with borderline monocytosis in context of microcytic anemia – basophilia may be reactive or signal early chronic myeloproliferative process; clinical follow-up recommended,low,0.5,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_eosinophilia,eosinophilia,"Elevated eosinophils – consider allergic reaction, parasitic infection, or drug reaction",medium,1.0,cbc_demo_cases,CBC
pattern_cbc_rule_microcytic_anemia_pattern,Microcytic anemia pattern,"Low hemoglobin with low MCV, often with high RDW, suggests a microcytic anemia pattern.",,0.6,panel_rule,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_bacterial_infection,bacterial_infection,WBC 19.47 with absolute neutrophilia (13.08 G/L) strongly suggests acute bacterial infection or significant physiologic stress,high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_iron_deficiency_anemia,iron_deficiency_anemia,"Low HGB (125 g/L), MCV (77 fL), MCH (24 pg), and MCHC (319 g/L) are classic findings of microcytic hypochromic anemia – iron deficiency is the most common etiology",high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_concurrent_anemia_infection,concurrent_anemia_infection,Hypochromic anemia with active neutrophilia – iron deficiency may be compounded by anemia of acute inflammation; combined nutritional and inflammatory etiology is likely,medium,0.8,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_thalassemia_trait,thalassemia_trait,"Low MCV and MCH with normal RDW – microcytic anemia with uniform cell size, consistent with thalassemia trait",medium,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_thrombocytosis,thrombocytosis,"High platelet count – consider reactive thrombocytosis (iron deficiency, infection) or essential thrombocythemia",low,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_microcytic_hypochromic_indices,microcytic_hypochromic_indices,"Low MCV (80 fL) and MCH (26 pg) indicate microcytic, hypochromic erythropoiesis without overt anemia – iron deficiency anemia or thalassemia trait are the primary differentials",high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_iron_deficiency_reactive_thrombocytosis,iron_deficiency_reactive_thrombocytosis,"Microcytic (MCV 81 fL), hypochromic (MCH 26 pg) anemia with thrombocytosis (PLT 534) is a characteristic presentation of iron deficiency anemia – platelet elevation is a well-recognized reactive response to iron deficiency",high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_severe_iron_deficiency_anemia,severe_iron_deficiency_anemia,"Markedly low MCV (68 fL), MCH (21 pg), and MCHC (306 g/L) with HGB 105 g/L represents severe microcytic hypochromic anemia – iron deficiency is the most likely etiology at this degree of microcytosis",high,1.0,cbc_demo_cases,CBC
