confidence,id,provenance,relation,source_id,target_id
1.0,edge_000001,ontology,BELONGS_TO_PANEL,test:rbc,panel:cbc
1.0,edge_000002,ontology,OF_TEST,finding_concept:cbc:rbc:high,test:rbc
1.0,edge_000003,ontology,HAS_STATUS,finding_concept:cbc:rbc:high,status:high
1.0,edge_000004,ontology,BELONGS_TO_PANEL,finding_concept:cbc:rbc:high,panel:cbc
1.0,edge_000005,ontology,OF_TEST,finding_concept:cbc:rbc:low,test:rbc
1.0,edge_000006,ontology,HAS_STATUS,finding_concept:cbc:rbc:low,status:low
1.0,edge_000007,ontology,BELONGS_TO_PANEL,finding_concept:cbc:rbc:low,panel:cbc
1.0,edge_000008,ontology,BELONGS_TO_PANEL,test:hgb,panel:cbc
1.0,edge_000009,ontology,OF_TEST,finding_concept:cbc:hgb:high,test:hgb
1.0,edge_000010,ontology,HAS_STATUS,finding_concept:cbc:hgb:high,status:high
1.0,edge_000011,ontology,BELONGS_TO_PANEL,finding_concept:cbc:hgb:high,panel:cbc
1.0,edge_000012,ontology,OF_TEST,finding_concept:cbc:hgb:low,test:hgb
1.0,edge_000013,ontology,HAS_STATUS,finding_concept:cbc:hgb:low,status:low
1.0,edge_000014,ontology,BELONGS_TO_PANEL,finding_concept:cbc:hgb:low,panel:cbc
1.0,edge_000015,ontology,BELONGS_TO_PANEL,test:hct,panel:cbc
1.0,edge_000016,ontology,OF_TEST,finding_concept:cbc:hct:high,test:hct
1.0,edge_000017,ontology,HAS_STATUS,finding_concept:cbc:hct:high,status:high
1.0,edge_000018,ontology,BELONGS_TO_PANEL,finding_concept:cbc:hct:high,panel:cbc
1.0,edge_000019,ontology,OF_TEST,finding_concept:cbc:hct:low,test:hct
1.0,edge_000020,ontology,HAS_STATUS,finding_concept:cbc:hct:low,status:low
1.0,edge_000021,ontology,BELONGS_TO_PANEL,finding_concept:cbc:hct:low,panel:cbc
1.0,edge_000022,ontology,BELONGS_TO_PANEL,test:mcv,panel:cbc
1.0,edge_000023,ontology,OF_TEST,finding_concept:cbc:mcv:high,test:mcv
1.0,edge_000024,ontology,HAS_STATUS,finding_concept:cbc:mcv:high,status:high
