canonical_name,description,display_name,evidence_type,id,kind,name,node_type,page,panel,pattern_id,score,source,status,test_code,text,trust
,,,,panel:cbc,,CBC,Panel,,,,,,,,,
,,,,panel:biochem,,BIOCHEM,Panel,,,,,,,,,
,,High,,status:high,,high,Status,,,,,,,,,
,,Low,,status:low,,low,Status,,,,,,,,,
,,Normal,,status:normal,,normal,Status,,,,,,,,,
,,Positive,,status:positive,,positive,Status,,,,,,,,,
,,Negative,,status:negative,,negative,Status,,,,,,,,,
,,,,test:rbc,,Red Blood Cell,Test,,CBC,,,,,RBC,,
,,,,finding_concept:cbc:rbc:high,,RBC high,FindingConcept,,CBC,,,,high,RBC,,
,,,,finding_concept:cbc:rbc:low,,RBC low,FindingConcept,,CBC,,,,low,RBC,,
,,,,test:hgb,,Hemoglobin,Test,,CBC,,,,,HGB,,
,,,,finding_concept:cbc:hgb:high,,HGB high,FindingConcept,,CBC,,,,high,HGB,,
,,,,finding_concept:cbc:hgb:low,,HGB low,FindingConcept,,CBC,,,,low,HGB,,
,,,,test:hct,,Hematocrit,Test,,CBC,,,,,HCT,,
,,,,finding_concept:cbc:hct:high,,HCT high,FindingConcept,,CBC,,,,high,HCT,,
,,,,finding_concept:cbc:hct:low,,HCT low,FindingConcept,,CBC,,,,low,HCT,,
,,,,test:mcv,,Mean Corpuscular Volume,Test,,CBC,,,,,MCV,,
,,,,finding_concept:cbc:mcv:high,,MCV high,FindingConcept,,CBC,,,,high,MCV,,
,,,,finding_concept:cbc:mcv:low,,MCV low,FindingConcept,,CBC,,,,low,MCV,,
,,,,test:mch,,Mean Corpuscular Hemoglobin,Test,,CBC,,,,,MCH,,
,,,,finding_concept:cbc:mch:high,,MCH high,FindingConcept,,CBC,,,,high,MCH,,
,,,,finding_concept:cbc:mch:low,,MCH low,FindingConcept,,CBC,,,,low,MCH,,
,,,,test:mchc,,Mean Corpuscular Hemoglobin Concentration,Test,,CBC,,,,,MCHC,,
,,,,finding_concept:cbc:mchc:high,,MCHC high,FindingConcept,,CBC,,,,high,MCHC,,
,,,,finding_concept:cbc:mchc:low,,MCHC low,FindingConcept,,CBC,,,,low,MCHC,,
,,,,test:rdw,,Red Cell Distribution Width,Test,,CBC,,,,,RDW,,
,,,,finding_concept:cbc:rdw:high,,RDW high,FindingConcept,,CBC,,,,high,RDW,,
,,,,finding_concept:cbc:rdw:low,,RDW low,FindingConcept,,CBC,,,,low,RDW,,
,,,,test:wbc,,White Blood Cell,Test,,CBC,,,,,WBC,,
,,,,finding_concept:cbc:wbc:high,,WBC high,FindingConcept,,CBC,,,,high,WBC,,
,,,,finding_concept:cbc:wbc:low,,WBC low,FindingConcept,,CBC,,,,low,WBC,,
,,,,test:neut,,Neutrophil,Test,,CBC,,,,,NEUT,,
,,,,finding_concept:cbc:neut:high,,NEUT high,FindingConcept,,CBC,,,,high,NEUT,,
,,,,finding_concept:cbc:neut:low,,NEUT low,FindingConcept,,CBC,,,,low,NEUT,,
,,,,test:lymph,,Lymphocyte,Test,,CBC,,,,,LYMPH,,
,,,,finding_concept:cbc:lymph:high,,LYMPH high,FindingConcept,,CBC,,,,high,LYMPH,,
,,,,finding_concept:cbc:lymph:low,,LYMPH low,FindingConcept,,CBC,,,,low,LYMPH,,
,,,,test:mono,,Monocyte,Test,,CBC,,,,,MONO,,
,,,,finding_concept:cbc:mono:high,,MONO high,FindingConcept,,CBC,,,,high,MONO,,
,,,,finding_concept:cbc:mono:low,,MONO low,FindingConcept,,CBC,,,,low,MONO,,
,,,,test:eos,,Eosinophil,Test,,CBC,,,,,EOS,,
,,,,finding_concept:cbc:eos:high,,EOS high,FindingConcept,,CBC,,,,high,EOS,,
,,,,finding_concept:cbc:eos:low,,EOS low,FindingConcept,,CBC,,,,low,EOS,,
,,,,test:baso,,Basophil,Test,,CBC,,,,,BASO,,
,,,,finding_concept:cbc:baso:high,,BASO high,FindingConcept,,CBC,,,,high,BASO,,
,,,,finding_concept:cbc:baso:low,,BASO low,FindingConcept,,CBC,,,,low,BASO,,
,,,,test:plt,,Platelet,Test,,CBC,,,,,PLT,,
,,,,finding_concept:cbc:plt:high,,PLT high,FindingConcept,,CBC,,,,high,PLT,,
,,,,finding_concept:cbc:plt:low,,PLT low,FindingConcept,,CBC,,,,low,PLT,,
,,,,test:ig,,Immature Granulocyte,Test,,CBC,,,,,IG,,
,,,,finding_concept:cbc:ig:high,,IG high,FindingConcept,,CBC,,,,high,IG,,
,,,,finding_concept:cbc:ig:low,,IG low,FindingConcept,,CBC,,,,low,IG,,
,,,,test:ast,,Aspartate Aminotransferase,Test,,BIOCHEM,,,,,AST,,
,,,,finding_concept:biochem:ast:high,,AST high,FindingConcept,,BIOCHEM,,,,high,AST,,
,,,,finding_concept:biochem:ast:low,,AST low,FindingConcept,,BIOCHEM,,,,low,AST,,
,,,,test:alt,,Alanine Aminotransferase,Test,,BIOCHEM,,,,,ALT,,
,,,,finding_concept:biochem:alt:high,,ALT high,FindingConcept,,BIOCHEM,,,,high,ALT,,
,,,,finding_concept:biochem:alt:low,,ALT low,FindingConcept,,BIOCHEM,,,,low,ALT,,
,,,,test:urea,,Urea,Test,,BIOCHEM,,,,,UREA,,
,,,,finding_concept:biochem:urea:high,,UREA high,FindingConcept,,BIOCHEM,,,,high,UREA,,
,,,,finding_concept:biochem:urea:low,,UREA low,FindingConcept,,BIOCHEM,,,,low,UREA,,
,,,,test:creatinine,,Creatinine,Test,,BIOCHEM,,,,,CREATININE,,
,,,,finding_concept:biochem:creatinine:high,,CREATININE high,FindingConcept,,BIOCHEM,,,,high,CREATININE,,
,,,,finding_concept:biochem:creatinine:low,,CREATININE low,FindingConcept,,BIOCHEM,,,,low,CREATININE,,
